Vorticity: Magnitude (/s),Vorticity[i] (/s),Vorticity[j] (/s),Vorticity[k] (/s),Velocity: Magnitude (m/s),Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),X (m),Y (m),Z (m)
0.9115894250401366,-1.9880367786964092e-16,-0.9115894250401366,-1.162643743758273e-16,41.610132909134634,-0.3344854361670064,1.2879237883281946e-17,-41.608221608269204,1.5,0.05000000074505804,-2.087999999999996
0.9115894250401366,-1.9880367786964092e-16,-0.9115894250401366,-1.162643743758273e-16,41.610132909134634,-0.3344854361670064,1.2879237883281946e-17,-41.608221608269204,1.469999999999999,0.05000000074505804,-2.087999999999996
1.161700249190564,-6.855618660538334e-17,-1.161700249190564,-2.1863426956568246e-16,41.68139346186545,-0.47123859206243124,-4.997431489301227e-17,-41.67757295367694,1.4399999999999986,0.05000000074505804,-2.087999999999996
1.161700249190564,-6.855618660538334e-17,-1.161700249190564,-2.1863426956568246e-16,41.68139346186545,-0.47123859206243124,-4.997431489301227e-17,-41.67757295367694,1.4099999999999975,0.05000000074505804,-2.087999999999996
1.161700249190564,-6.855618660538334e-17,-1.161700249190564,-2.1863426956568246e-16,41.68139346186545,-0.47123859206243124,-4.997431489301227e-17,-41.67757295367694,1.3799999999999981,0.05000000074505804,-2.087999999999996
1.161700249190564,-6.855618660538334e-17,-1.161700249190564,-2.1863426956568246e-16,41.68139346186545,-0.47123859206243124,-4.997431489301227e-17,-41.67757295367694,1.3499999999999974,0.05000000074505804,-2.087999999999996
1.3340305033546165,1.3639255504613975e-16,-1.3340305033546165,-2.822656100384135e-16,41.73751715345549,-0.5010629208468166,5.943220838335882e-17,-41.73256248885624,1.3199999999999965,0.05000000074505804,-2.087999999999996
1.3340305033546165,1.3639255504613975e-16,-1.3340305033546165,-2.822656100384135e-16,41.73751715345549,-0.5010629208468166,5.943220838335882e-17,-41.73256248885624,1.290000000000003,0.05000000074505804,-2.087999999999996
1.3340305033546165,1.3639255504613975e-16,-1.3340305033546165,-2.822656100384135e-16,41.73751715345549,-0.5010629208468166,5.943220838335882e-17,-41.73256248885624,1.2600000000000022,0.05000000074505804,-2.087999999999996
1.5196303272035487,1.519118935733083e-17,-1.5196303272035487,1.0199022058929303e-15,41.80936614610907,-0.6207877989972342,1.6732077298644497e-17,-41.80128996202482,1.230000000000001,0.05000000074505804,-2.087999999999996
1.5196303272035487,1.519118935733083e-17,-1.5196303272035487,1.0199022058929303e-15,41.80936614610907,-0.6207877989972342,1.6732077298644497e-17,-41.80128996202482,1.200000000000002,0.05000000074505804,-2.087999999999996
1.5196303272035487,1.519118935733083e-17,-1.5196303272035487,1.0199022058929303e-15,41.80936614610907,-0.6207877989972342,1.6732077298644497e-17,-41.80128996202482,1.1700000000000015,0.05000000074505804,-2.087999999999996
1.6398363987027207,-2.2212539813948434e-16,-1.6398363987027207,-1.026924104599716e-15,41.85388861383283,-0.632691342781637,-1.2328721290212558e-16,-41.84320781581719,1.1400000000000003,0.05000000074505804,-2.087999999999996
1.6398363987027207,-2.2212539813948434e-16,-1.6398363987027207,-1.026924104599716e-15,41.85388861383283,-0.632691342781637,-1.2328721290212558e-16,-41.84320781581719,1.1099999999999997,0.05000000074505804,-2.087999999999996
1.6398363987027207,-2.2212539813948434e-16,-1.6398363987027207,-1.026924104599716e-15,41.85388861383283,-0.632691342781637,-1.2328721290212558e-16,-41.84320781581719,1.0799999999999985,0.05000000074505804,-2.087999999999996
1.77695316904999,-7.810902139475308e-17,-1.77695316904999,1.3049491352493488e-16,41.91417627244833,-0.7337947663606819,1.8195643978290168e-16,-41.89772489066734,1.049999999999998,0.05000000074505804,-2.087999999999996
1.77695316904999,-7.810902139475308e-17,-1.77695316904999,1.3049491352493488e-16,41.91417627244833,-0.7337947663606819,1.8195643978290168e-16,-41.89772489066734,1.0199999999999994,0.05000000074505804,-2.087999999999996
1.77695316904999,-7.810902139475308e-17,-1.77695316904999,1.3049491352493488e-16,41.91417627244833,-0.7337947663606819,1.8195643978290168e-16,-41.89772489066734,0.9899999999999985,0.05000000074505804,-2.087999999999996
1.8326562911024151,-1.2384990308969645e-16,-1.8326562911024151,2.136996887893797e-15,41.944577381034634,-0.7244369174494372,-9.414597229283927e-17,-41.92142737145186,0.9599999999999984,0.05000000074505804,-2.087999999999996
1.8326562911024151,-1.2384990308969645e-16,-1.8326562911024151,2.136996887893797e-15,41.944577381034634,-0.7244369174494372,-9.414597229283927e-17,-41.92142737145186,0.9300000000000019,0.05000000074505804,-2.087999999999996
1.9374521906022921,-1.3891281226819057e-17,-1.9374521906022921,-2.4149027966063754e-17,41.99067026554452,-0.8052144313512777,-1.2451487391371535e-16,-41.95530762026182,0.9000000000000008,0.05000000074505804,-2.087999999999996
1.9374521906022921,-1.3891281226819057e-17,-1.9374521906022921,-2.4149027966063754e-17,41.99067026554452,-0.8052144313512777,-1.2451487391371535e-16,-41.95530762026182,0.8700000000000004,0.05000000074505804,-2.087999999999996
1.9168067972339988,-8.044925054010578e-17,-1.9168067972339988,-1.8207861794381432e-16,42.0149202670092,-0.7755507465299217,-1.094423512554321e-16,-41.96304857324528,0.840000000000002,0.05000000074505804,-2.087999999999996
1.9168067972339988,-8.044925054010578e-17,-1.9168067972339988,-1.8207861794381432e-16,42.0149202670092,-0.7755507465299217,-1.094423512554321e-16,-41.96304857324528,0.8100000000000012,0.05000000074505804,-2.087999999999996
